19,19.0,L,L,repeat,NW-SE-NE-NE-SW-NW-SE-SW-NW-NE-NE-SW-SW-NW-SE-NW-SE-NE-NW,BO-SGL-B0-SGR-DR-SGR-B1-SGR-B0-SGL-B1-GR-B1-SGL-DL-SGL-DL-SGL-B1-GL
5,12.0,L,L,repeat,NE-NE-SW-NW-NW,BO-SGR-DR-SGR-B1-GL
7,10.0,L,L,repeat,NW-NE-SW-SE-NE-NW-NW,BO-SGL-B1-SGL-B0-SGR-B1-GL
3,8.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,7.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,7.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,6.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,6.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
5,6.0,L,L,repeat,NW-NE-SW-NE-NW,BO-SGL-B1-SGL-B1-GL
5,6.0,L,L,repeat,NE-NE-SW-NW-NW,BO-SGR-DR-SGR-B1-GL
7,6.0,L,L,repeat,NE-NW-SE-NE-SW-NW-NW,BO-SGR-B1-SGR-DR-SGR-B1-GL
5,6.0,L,L,repeat,NW-SE-NE-NW-NW,BO-SGL-B0-SGR-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
5,5.0,L,L,repeat,NW-NE-SE-NW-NW,BO-SGL-B1-SGR-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
9,6.0,L,L,repeat,NE-NW-SW-NW-SE-SE-NE-NW-NW,BO-SGR-B1-SGL-DL-SGL-B0-SGR-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
5,5.0,L,L,repeat,NE-NW-NE-SW-NW,BO-SGR-B1-GR-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
5,5.0,L,L,repeat,NE-SW-NE-NW-NW,BO-SGR-B0-SGR-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
5,4.0,L,L,repeat,NE-NW-SE-NW-NW,BO-SGR-B1-SGR-B1-GL
5,4.0,L,L,repeat,NE-NE-SW-NW-NW,BO-SGR-DR-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
5,4.0,L,L,repeat,NW-SE-NE-NW-NW,BO-SGL-B0-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
5,4.0,L,L,repeat,NE-NW-NE-SW-NW,BO-SGR-B1-GR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
5,4.0,L,L,repeat,NE-SW-NE-NW-NW,BO-SGR-B0-SGR-B1-GL
5,4.0,L,L,repeat,NE-NE-SW-NW-NW,BO-SGR-DR-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
5,4.0,L,L,repeat,NE-NE-SW-NW-NW,BO-SGR-DR-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
5,4.0,L,L,repeat,NE-NW-SE-NW-NW,BO-SGR-B1-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
5,4.0,L,L,repeat,NE-SW-NE-NW-NW,BO-SGR-B0-SGR-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
5,4.0,L,L,repeat,NE-NE-SW-NW-NW,BO-SGR-DR-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
