9,9.0,L,L,repeat,NE-SW-NE-NE-SW-SW-NW-NE-NW,BO-SGR-B0-SGR-DR-SGR-B0-SGL-B1-GL
21,15.0,L,L,repeat,NE-NW-NE-SW-SE-NE-SW-NE-SW-NW-SE-SW-NE-NE-SW-NW-SW-NW-SE-NE-NW,BO-SGR-B1-GR-B1-SGR-DR-SGR-DR-SGR-B1-SGR-B0-SGR-DR-SGR-B1-SGL-DL-SGL-B1-GL
13,14.0,L,L,repeat,NW-SE-NW-NW-SE-NW-SE-SE-NE-SW-NW-NE-NW,BO-SGL-B0-SGL-DL-SGL-DL-SGL-B0-SGR-B0-SGL-B1-GL
3,12.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,10.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,9.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
5,8.0,L,L,repeat,NE-SW-NW-NE-NW,BO-SGR-B0-SGL-B1-GL
3,8.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,7.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,7.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
7,7.0,L,L,repeat,NW-NW-SE-NW-SE-NE-NW,BO-SGL-DL-SGL-DL-SGL-B1-GL
15,7.0,L,L,repeat,NE-NE-SW-SW-NW-NW-SE-NE-NE-SW-SW-SE-NW-NE-NW,BO-SGR-DR-SGR-B0-SGL-DL-SGL-B1-GR-B1-SGL-B0-SGL-B1-GL
3,7.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,7.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,6.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,6.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,6.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,6.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,6.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
7,6.0,L,L,repeat,NW-NW-SE-NE-SE-NW-NW,BO-SGL-DL-SGL-B1-SGR-B1-GL
5,6.0,L,L,repeat,NW-NE-SE-NW-NW,BO-SGL-B1-SGR-B1-GL
3,6.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,6.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
7,5.0,L,L,repeat,NW-NE-NE-SW-NE-SW-NW,BO-SGL-B1-GR-B1-GR-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
3,4.0,L,L,repeat,NW-NE-NW,BO-SGL-B1-GL
