11,11.0,L,L,repeat,B0_GR_ALT-SW-SE-SW-B0_B1_R-NE-SW-NW,BO-SGL-B1-GR-B1-SGR-B0-SGR-B1-GR-B1-GL
7,9.0,L,L,repeat,B0_B1_R-SE-NE-SW-NW-NW,BO-SGR-B1-SGR-DR-SGR-B1-GL
5,8.0,L,L,repeat,NW-NW-SE-NE-NW,BO-SGL-DL-SGL-B1-GL
5,7.0,L,L,repeat,NE-NE-SW-NW-NW,BO-SGR-DR-SGR-B1-GL
5,7.0,L,L,repeat,B0_GR_REP-SW-NW,BO-SGR-B1-GR-B1-GL
3,6.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,6.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,5.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
5,5.0,L,L,repeat,B0_GR_REP-SW-NW,BO-SGR-B1-GR-B1-GL
3,5.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,5.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,5.0,L,L,repeat,B0_B1_L-NW,BO-SGL-B1-GL
3,5.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
9,4.0,L,L,repeat,B0_B1_R-NE-SW-SW-SE-B0_GL_REP,BO-SGR-B1-GR-B1-SGL-B0-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_ALT,BO-SGR-B1-GL
3,4.0,L,L,repeat,B0_B1_L-NW,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_B1_R-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_B1_R-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,NE-NW-NW,BO-SGR-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
5,4.0,L,L,repeat,NW-SE-B0_GL_REP,BO-SGL-B0-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
