11,11.0,L,L,repeat,B0_B1_R-NE-SW-SW-NE-SW-SE-B0_GL_REP,BO-SGR-B1-GR-B1-SGL-B1-SGL-B0L-SGL-B1-GL
17,14.0,R,R,repeat,B0_B1_R-SE-SW-B0_B1_L-SE-NE-SW-SW-NE-NW-SW-SE-B0_GR_ALT,BO-SGR-B1-SGR-B0R-SGL-B1-SGR-DR-SGR-B0R-SGR-B1-SGL-B0R-SGL-B1-GR
3,10.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
23,14.0,R,R,repeat,B0_GR_ALT-SW-SE-NE-SW-NW-SW-NW-SE-NW-SE-NE-SW-SE-NW-NE-NW-SE-NW-SE-NE,BO-SGL-B1-GR-B1-SGR-DR-SGR-B1-SGL-DL-SGL-DL-SGL-B1-SGL-B0R-SGL-B1-GL-B1-GL-B1-GR
3,11.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
5,10.0,R,R,repeat,B0_GL_ALT-SE-NE,BO-SGR-B1-GL-B1-GR
3,9.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
9,9.0,R,R,repeat,B0_GL_REP-SE-NE-SW-SE-NW-NE,BO-SGL-B1-GL-B1-GR-B1-SGR-B1-GR
3,9.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,8.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,8.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
13,8.0,R,R,repeat,B0_B1_L-NE-SW-SW-NW-SE-NE-SE-SW-B0_GR_REP,BO-SGL-B1-GR-B1-SGL-DL-SGL-B1-SGR-B0R-SGR-B1-GR
3,8.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,7.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,7.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,7.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,7.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,6.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,6.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,6.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,6.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,6.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,6.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,6.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,5.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,5.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
5,5.0,L,L,repeat,NW-SE-B0_GL_REP,BO-SGL-B0L-SGL-B1-GL
3,5.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,5.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,5.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,5.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,5.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,5.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,5.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,5.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,5.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
7,5.0,L,L,repeat,B0_B1_L-SE-SW-B0_GL_REP,BO-SGL-B1-SGR-B0L-SGL-B1-GL
3,5.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,5.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,5.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,5.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,5.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,5.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
13,4.0,R,R,repeat,B0_GL_REP-SE-SE-SW-B0_B1_L-SE-SW-B0_GR_REP,BO-SGL-B1-GL-B1-SGR-B0R-SGL-B1-SGR-B0R-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,4.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,4.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,3.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,3.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
