35,35.0,L,L,repeat,NE-SW-B0_GR_REP-SW-NW-SE-SW-NW-SE-SE-B0_GR_ALT-SW-SE-NE-SW-NW-SE-NW-NE-SW-SW-NE-NE-SW-SW-NW-SE-NE-NE-SW-NW,BO-SGR-B0L-SGR-B1-GR-B1-GL-B1-SGL-DL-SGL-B0L-SGL-B1-GR-B1-SGR-DR-SGR-B1-SGR-B1-GR-B1-SGL-B1-GR-B1-SGL-DL-SGL-B1-GR-B1-GL
27,31.0,R,R,repeat,B0_GL_ALT-SE-NW-SE-NW-SE-SE-NE-SW-SW-B0_GL_REP-SE-NW-SE-SW-SE-NE-NW-SE-SW-B0_GR_ALT,BO-SGR-B1-GL-B1-GL-B1-GL-B1-SGR-DR-SGR-B0R-SGL-B1-GL-B1-GL-B1-SGL-B0R-SGR-B1-SGR-B0R-SGL-B1-GR
9,24.0,L,L,repeat,B0_B1_R-NE-SW-SW-SE-B0_GL_ALT,BO-SGR-B1-GR-B1-SGL-B0L-SGR-B1-GL
13,21.0,R,R,repeat,B0_GR_ALT-SW-NW-SE-SE-NE-SW-SW-B0_B1_R-NE,BO-SGL-B1-GR-B1-GL-B1-SGR-DR-SGR-B0R-SGR-B1-GR
23,21.0,L,L,repeat,B0_GL_ALT-SE-NE-SW-NE-SW-NW-SE-SW-NW-SE-NE-SE-NE-SW-NE-SW-NW-NE-SW-NW,BO-SGR-B1-GL-B1-GR-B1-GR-B1-GL-B1-SGL-DL-SGL-B1-SGR-DR-SGR-DR-SGR-B1-GR-B1-GL
17,21.0,R,R,repeat,B0_B1_L-NW-SE-NW-SE-SW-SE-NW-NW-SE-NE-SE-SW-B0_GR_REP,BO-SGL-B1-GL-B1-GL-B1-SGL-B0R-SGL-DL-SGL-B1-SGR-B0R-SGR-B1-GR
3,18.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,16.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,15.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,14.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
7,13.0,L,L,repeat,NE-NW-SW-SE-B0_GL_REP,BO-SGR-B1-SGL-B0L-SGL-B1-GL
3,12.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,11.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,11.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,10.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,10.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,9.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,9.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,9.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
13,9.0,R,R,repeat,B0_GL_REP-SE-NE-SW-NW-SE-SE-SW-B0_GR_REP,BO-SGL-B1-GL-B1-GR-B1-GL-B1-SGR-B0R-SGR-B1-GR
3,9.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,8.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,8.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,8.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,8.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,8.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
13,8.0,L,L,repeat,B0_B1_R-SW-NW-SE-NE-SE-NE-SW-SW-B0_GL_REP,BO-SGR-B1-SGL-DL-SGL-B1-SGR-DR-SGR-B0L-SGL-B1-GL
3,8.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,7.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,7.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,7.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,7.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,7.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,7.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,7.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,7.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,7.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,6.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,6.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,6.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,6.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,6.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,6.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,6.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
5,6.0,L,L,repeat,B0_B1_L-NE-SW-NW,BO-SGL-B1-GR-B1-GL
3,6.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
3,6.0,L,L,repeat,B0_GL_REP,BO-SGL-B1-GL
3,6.0,R,R,repeat,B0_GR_REP,BO-SGR-B1-GR
